game_title,image_url
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg
It Takes Two,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg
DYNASTY WARRIORS: ORIGINS,https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg
NHL 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg
Balatro,https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg
MiSide,https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg
Metaphor: ReFantazio,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg
Indiana Jones and the Great Circle,https://images.igdb.com/igdb/image/upload/t_cover_big/co7nbc.jpg
Hell Let Loose,https://images.igdb.com/igdb/image/upload/t_cover_big/co6sqr.jpg
Super Mario 64,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wv6.jpg
S.T.A.L.K.E.R. 2: Heart of Chornobyl,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pxn.jpg
STALCRAFT: X,https://images.igdb.com/igdb/image/upload/t_cover_big/co8h06.jpg
Supermarket Together,https://images.igdb.com/igdb/image/upload/t_cover_big/co8mcl.jpg
Ragnarok Online 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1toh.jpg
The Outlast Trials,https://images.igdb.com/igdb/image/upload/t_cover_big/co29og.jpg
Detroit: Become Human,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.jpg
EA Sports UFC 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2bz5.jpg
Palia,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mc3.jpg
Green Hell,https://images.igdb.com/igdb/image/upload/t_cover_big/co9d3h.jpg
Microsoft Flight Simulator 2024,https://images.igdb.com/igdb/image/upload/t_cover_big/co91qm.jpg
Teamfight Tactics,https://images.igdb.com/igdb/image/upload/t_cover_big/co8jux.jpg
No Man's Sky,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j8v.jpg
Farming Simulator 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fpu.jpg
Tom Clancy's The Division 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xrm.jpg
Super Smash Bros. Ultimate,https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg
Dying Light,https://images.igdb.com/igdb/image/upload/t_cover_big/co65yq.jpg
Sniper Elite: Resistance,https://images.igdb.com/igdb/image/upload/t_cover_big/co9brt.jpg
New World: Aeternum,https://images.igdb.com/igdb/image/upload/t_cover_big/co8xyh.jpg
Hello Kitty Island Adventure,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ohb.jpg
The Headliners,https://images.igdb.com/igdb/image/upload/t_cover_big/co9c24.jpg
Mir Tankov,https://images.igdb.com/igdb/image/upload/t_cover_big/co6q0c.jpg
The Binding of Isaac: Repentance,https://images.igdb.com/igdb/image/upload/t_cover_big/co949f.jpg
Exoborne,https://images.igdb.com/igdb/image/upload/t_cover_big/co9dm3.jpg
Grand Theft Auto: San Andreas,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg
Infinity Nikki,https://images.igdb.com/igdb/image/upload/t_cover_big/co8tdc.jpg
Borderlands 3,https://images.igdb.com/igdb/image/upload/t_cover_big/co20r3.jpg
Knight Online,https://images.igdb.com/igdb/image/upload/t_cover_big/co5tgw.jpg
Supermarket Simulator,https://images.igdb.com/igdb/image/upload/t_cover_big/co8guq.jpg
